Grade,Graduation,Gender,GPA
A,On Time,Male,2.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,3.0>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Male,2.5>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.0>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,3.5>
A,On Time,Female,2.0>
A,On Time,Female,2.0>
A,On Time,Female,2.5>
A,On Time,Female,2.5>
A,On Time,Female,2.5>
A,On Time,Female,2.5>
A,Late,Male,2.0>
A,Late,Male,2.0>
A,Late,Male,2.0>
A,Late,Male,2.0>
A,Late,Male,2.0>
A,Late,Female,2.0>
B,On Time,Male,2.0>
B,On Time,Male,2.0>
B,On Time,Male,2.0>
B,On Time,Male,2.0>
B,On Time,Male,2.0>
B,On Time,Male,2.0>
B,On Time,Male,2.0>
B,On Time,Male,2.0>
B,On Time,Male,2.0>
B,On Time,Male,2.0>
B,On Time,Male,2.0>
B,On Time,Male,2.0>
B,On Time,Male,2.0>
B,On Time,Male,2.5>
B,On Time,Male,2.5>
B,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
C,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
D,On Time,Male,2.5>
